MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model,Scored Labels
14,8,318,150,4096,13,71,1,plymouth fury iii,14.9701448653374
24.3,4,151,90,3003,20.1,80,1,amc concord,19.298382927361
44,4,97,52,2130,24.6,82,2,vw pickup,29.2716734786957
23,4,97,54,2254,23.5,72,2,volkswagen type 3,24.8814106858437
31,4,119,82,2720,19.4,82,1,chevy s-10,25.3409545013179
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,9.85187852704224
18.1,6,258,120,3410,15.1,78,1,amc concord d/l,21.1385310407162
31,4,79,67,2000,16,74,2,fiat x1.9,29.0821560754787
32.4,4,107,72,2290,17,80,3,honda accord,33.8201806489492
37,4,85,65,1975,19.4,81,3,datsun 210 mpg,32.8093479940281
23,4,140,83,2639,17,75,1,ford pinto,21.4754311311279
15,6,250,100,3336,17,74,1,chevrolet nova,19.1787659129486
33,4,91,53,1795,17.5,75,3,honda civic cvcc,34.8699523392347
18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw),18.7002500169765
14,8,440,215,4312,8.5,70,1,plymouth fury iii,12.4134530262602
18,8,318,150,3436,11,70,1,plymouth satellite,17.1389759159261
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,26.247685866699
27.2,4,141,71,3190,24.8,79,2,peugeot 504,22.5436643898584
29,4,90,70,1937,14.2,76,2,vw rabbit,41.2041769972035
25,6,181,110,2945,16.4,82,1,buick century limited,23.6492523088223
32,4,71,65,1836,21,74,3,toyota corolla 1200,29.336613431131
14,8,302,137,4042,14.5,73,1,ford gran torino,14.744672174622
22,4,108,94,2379,16.5,73,3,datsun 610,27.1859887784715
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),28.1715185671427
19,4,121,112,2868,15.5,73,2,volvo 144ea,22.4251184563399
30,4,98,68,2155,16.5,78,1,chevrolet chevette,30.7386844325277
26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls,21.0166402630328
16,8,318,150,4190,13,76,1,dodge coronet brougham,15.7860937878975
23.9,4,119,97,2405,14.9,78,3,datsun 200-sx,29.9435868602236
24,4,134,96,2702,13.5,75,3,toyota corona,25.646057054185
13,8,400,150,4464,12,73,1,chevrolet caprice classic,14.1653935680674
13,8,302,130,3870,15,76,1,ford f108,17.4578818851546
12,8,455,225,4951,11,73,1,buick electra 225 custom,8.41125285612083
27,4,140,86,2790,15.6,82,1,ford mustang gl,26.9483251900616
